,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
0,Secadora de roupas,eletrodomesticos,1713.5,88.8231591667,17/12/2021,Camila Ribeiro,CE,4,cartao_credito,4,-5.2,-39.53
1,Cômoda,moveis,386.81,18.1809078858,10/02/2021,Larissa Alves,RS,3,cartao_credito,1,-30.17,-53.5
2,Violão,instrumentos musicais,404.62,23.1975920919,22/01/2023,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
3,Bola de vôlei,esporte e lazer,78.4,4.4633409534,22/03/2022,Pedro Gomes,BA,4,cartao_credito,6,-13.29,-41.71
4,Guarda roupas,moveis,694.76,34.5783189478,12/01/2022,Bianca Santos,SP,1,cartao_credito,1,-22.19,-48.79
5,Impressora,eletronicos,307.64,13.9653435611,20/11/2022,Mariana Ferreira,MG,5,cartao_credito,5,-18.1,-44.38
6,Carrinho controle remoto,brinquedos,74.26,4.2372475047,07/07/2020,Bruno Rodrigues,SP,2,boleto,1,-22.19,-48.79
7,Cadeira de escritório,moveis,619.44,33.5144209995,01/05/2022,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
8,Pandeiro,instrumentos musicais,58.01,3.6199625076,27/10/2021,Larissa Alves,MG,5,cartao_credito,3,-18.1,-44.38
9,Faqueiro,utilidades domesticas,44.73,0.0,03/05/2022,Felipe Santos,RJ,5,boleto,1,-22.25,-42.66
10,Boneca bebê,brinquedos,60.64,0.0,16/08/2021,Beatriz Moraes,PI,5,boleto,1,-6.6,-42.28
11,Cadeira de escritório,moveis,580.24,28.4804734702,25/09/2022,Felipe Santos,GO,2,cartao_credito,1,-15.98,-49.86
12,Impressora,eletronicos,310.02,18.1604266869,16/01/2023,Lucas Oliveira,MG,5,cartao_credito,2,-18.1,-44.38
13,Fone de ouvido,eletronicos,91.63,6.5318161922,31/01/2022,João Souza,RS,4,cartao_credito,1,-30.17,-53.5
14,Jogo de copos,utilidades domesticas,52.13,3.306870197,08/11/2021,João Souza,CE,5,boleto,1,-5.2,-39.53
15,TV Led UHD 4K,eletronicos,2053.75,106.9404480573,04/02/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
16,Panela de pressão,utilidades domesticas,111.28,3.5097642912,17/02/2022,João Souza,SP,5,boleto,1,-22.19,-48.79
17,Panela de pressão,utilidades domesticas,92.34,5.4430921935,17/08/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
18,Boneca bebê,brinquedos,51.2,3.2573504949,01/04/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
19,Cômoda,moveis,335.28,15.4370904088,01/10/2022,Beatriz Moraes,PE,4,cartao_credito,3,-8.38,-37.86
20,Lavadora de roupas,eletrodomesticos,2003.23,107.5543861505,19/09/2022,Felipe Santos,DF,1,cartao_credito,8,-15.83,-47.86
21,Jogo de panelas,utilidades domesticas,170.82,9.3787770132,29/08/2022,Thiago Silva,ES,5,cartao_credito,4,-19.19,-40.34
22,Dinossauro Rex,brinquedos,22.22,0.0,21/01/2020,Juliana Costa,RJ,4,cartao_credito,1,-22.25,-42.66
23,Modelagem preditiva,livros,102.08,6.3238680771,24/06/2022,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
24,Panela de pressão,utilidades domesticas,87.53,4.9494859866,21/08/2020,Thiago Silva,RJ,1,cartao_credito,1,-22.25,-42.66
25,Mesa de jantar,moveis,396.14,24.2570795737,05/11/2021,Lucas Oliveira,PA,5,cartao_credito,3,-3.79,-52.48
26,Dashboards com Power BI,livros,45.14,2.9346737258,19/05/2021,Pedro Gomes,BA,5,cartao_credito,1,-13.29,-41.71
27,Kit banquetas,moveis,447.99,21.4385588316,22/02/2023,Lucas Oliveira,DF,4,cartao_credito,1,-15.83,-47.86
28,Corda de pular,esporte e lazer,22.75,1.4944949675,21/08/2020,Beatriz Moraes,SP,4,cartao_credito,10,-22.19,-48.79
29,Iniciando em programação,livros,86.73,5.1492161063,26/08/2022,Camila Ribeiro,SP,1,cartao_credito,5,-22.19,-48.79
30,Jogo de panelas,utilidades domesticas,157.74,8.9254454439,10/04/2021,Rafael Costa,SP,5,cartao_credito,3,-22.19,-48.79
31,Bola de basquete,esporte e lazer,81.79,4.8861759678,24/11/2020,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
32,Fogão,eletrodomesticos,695.63,34.6246438305,07/09/2022,João Souza,MG,5,cartao_credito,2,-18.1,-44.38
33,Carrinho controle remoto,brinquedos,89.83,5.3142817802,30/08/2022,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
34,Carrinho controle remoto,brinquedos,107.76,7.137011161,27/08/2022,Mariana Ferreira,ES,5,cartao_credito,2,-19.19,-40.34
35,Fogão,eletrodomesticos,598.85,32.4180654426,19/11/2022,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
36,Bicicleta,esporte e lazer,422.58,20.0855527752,25/11/2021,Felipe Santos,SP,5,cartao_credito,2,-22.19,-48.79
37,Jogo de copos,utilidades domesticas,48.66,0.0,28/11/2022,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
38,Panela de pressão,utilidades domesticas,111.95,3.5454397756,15/01/2021,Pedro Gomes,SP,5,cupom,1,-22.19,-48.79
39,Fone de ouvido,eletronicos,174.17,15.515963913,06/02/2021,João Souza,RJ,3,cartao_credito,3,-22.25,-42.66
